"","artist","genres","image","popularity","followers","language","circle","new_image_path"
"44","Maudy Ayunda","['indonesian hip hop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebfd44a0ed071317d27edf6ad3",59,1380747,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a44c5a55.png","maudy_ayunda.png"
"45","Andra & The Backbone","['classic indonesian rock', 'indonesian rock']","https://i.scdn.co/image/ab67616d0000b2738a25f55567169ee8dbc97fcc",63,1373488,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a41a462ac0.png","andra_&_the_backbone.png"
"46","Ziva Magnolya","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb7e02da73852aff7b75f0a1b7",67,1357321,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4191e7c94.png","ziva_magnolya.png"
"47","Mahen","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebcea95a5ffcf422b6faad237e",55,1319949,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a45cb21a45.png","mahen.png"
"48","Yovie & Nuno","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eba6f4e599c565123adb28418a",62,1276025,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4f72f2b.png","yovie_&_nuno.png"
"49","Anneth","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebe39d70fffc59dd2a48fca0d5",48,1257559,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4777138bb.png","anneth.png"
"50","Melly Goeslaw","['indonesian idol pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebb3ad556044e96a40dc1cfb4c",57,1252129,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4353a3297.png","melly_goeslaw.png"
"51","Kerispatih","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb9ea96787240ddf564d6882c7",59,1193028,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a461f7c1d.png","kerispatih.png"
"52","D’MASIV","['indonesian pop', 'malaysian pop']","https://i.scdn.co/image/ab6761610000e5ebf91841f1330da697dd8af626",59,1114956,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4e126b55.png","d’masiv.png"
"53","Nidji","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb742227e426d0ea5c9d0fd0d2",58,1096881,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4d546073.png","nidji.png"
"54","Brisia Jodie","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb32ad1cea4cfaffe7982af92e",54,1090847,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a44874647.png","brisia_jodie.png"
"55","SAMSONS","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb27f5ae4456485dd45cb267da",56,1089982,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a45d78f53.png","samsons.png"
"56","Ardhito Pramono","['indonesian jazz', 'indonesian pop', 'jazz pop']","https://i.scdn.co/image/ab6761610000e5ebd7649c8b7fc775137d4cb3d8",60,1016186,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4572b1c5a.png","ardhito_pramono.png"
"57","Anji","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebbfa348bd053b01f28dd78736",48,1007915,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a417d920a8.png","anji.png"
"58","NaFF","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb4c12d6ac79cdaaf0d373ed0a",55,995433,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a43f0a7966.png","naff.png"
